symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
AUDUSD,-1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-11030.79934523835,AUDUSD,4922884.206866849,0.715775,0.71736,-10901.151154879599,129.64819035875152,96,eod,,pre_ret=+0.372% rank=6/6 (strongest) vol=0.00067 wt=0.22 notional_x=4.9x,round_1,2026-05-24 22:00:00,SHORT,4.92,-0.2214,-1.1031,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,2399.6210301313176,USDJPY,10876399.562284783,158.88049999999998,158.91950000000003,2669.8026688576356,270.18163872631794,96,eod,,pre_ret=-0.149% rank=2/6 (weakest) vol=0.00030 wt=0.49 notional_x=10.9x,round_1,2026-05-24 22:00:00,LONG,10.88,0.0245,0.24,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-24 22:00:00,2026-05-25 22:00:00,-210.7509483995088,USDCHF,6200716.230848368,0.7827550000000001,0.78277,118.82484744492724,329.575795844436,96,eod,,pre_ret=-0.205% rank=1/6 (weakest) vol=0.00053 wt=0.28 notional_x=6.2x,round_1,2026-05-24 22:00:00,LONG,6.2,0.0019,-0.0211,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,-13824.21703593423,USDCHF,3775062.4375680415,0.78277,0.785595,-13624.11868892529,200.09834700894157,96,eod,,pre_ret=+0.190% rank=6/6 (strongest) vol=0.00028 wt=0.17 notional_x=3.8x,round_2,2026-05-25 22:00:00,SHORT,3.78,-0.3609,-1.3824,1440,Held to round-end (EOD)
USDJPY,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,27616.55549785399,USDJPY,11921109.158608232,158.91950000000003,159.2905,27830.011407306665,213.4559094526743,96,eod,,pre_ret=-0.025% rank=2/6 (weakest) vol=0.00009 wt=0.54 notional_x=11.9x,round_2,2026-05-25 22:00:00,LONG,11.92,0.2335,2.7617,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-05-25 22:00:00,2026-05-26 22:00:00,2912.8444399039704,USDCAD,6303828.403823727,1.38035,1.3810250000000002,3082.6125059460564,169.76806604208625,96,eod,,pre_ret=-0.053% rank=1/6 (weakest) vol=0.00017 wt=0.29 notional_x=6.3x,round_2,2026-05-25 22:00:00,LONG,6.3,0.0489,0.2913,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,27480.521547021912,USDCHF,6977072.803958855,0.786875,0.7837450000000001,27753.12200335555,272.6004563336375,96,finals_bank,,pre_ret=+0.123% rank=6/6 (strongest) vol=0.00051 wt=0.32 notional_x=7.0x,finals,2026-05-27 22:00:00,SHORT,6.98,0.3978,2.7481,1440,Banked at Finals +24h profit-take
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,14477.536948429948,EURUSD,7808822.792071256,1.1630150000000001,1.1651950000000002,14637.157462901076,159.62051447112668,96,finals_bank,,pre_ret=-0.125% rank=2/6 (weakest) vol=0.00046 wt=0.35 notional_x=7.8x,finals,2026-05-27 22:00:00,LONG,7.81,0.1874,1.4478,1440,Banked at Finals +24h profit-take
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,8080.188863394088,GBPUSD,7214104.4039698895,1.3430050000000002,1.344535,8218.569356087102,138.3804926930145,96,finals_bank,,pre_ret=-0.125% rank=1/6 (weakest) vol=0.00050 wt=0.33 notional_x=7.2x,finals,2026-05-27 22:00:00,LONG,7.21,0.1139,0.808,1440,Banked at Finals +24h profit-take
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-4294.043365485935,GBPUSD,6662793.140660229,1.3449250000000001,1.345755,-4111.8414088125855,182.20195667334949,96,eod,,pre_ret=+0.303% rank=6/6 (strongest) vol=0.00050 wt=0.30 notional_x=6.7x,round_1,2026-05-31 22:00:00,SHORT,6.66,-0.0617,-0.4294,1440,Held to round-end (EOD)
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,24059.370077507414,USDCAD,7897545.53838261,1.379925,1.3841550000000002,24209.009639915374,149.63956240796105,96,eod,,pre_ret=-0.064% rank=2/6 (weakest) vol=0.00042 wt=0.36 notional_x=7.9x,round_1,2026-05-31 22:00:00,LONG,7.9,0.3065,2.4059,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,47020.174192120845,USDCHF,7439661.320957163,0.781695,0.7866550000000001,47206.03323796127,185.85904584042493,96,eod,,pre_ret=-0.183% rank=1/6 (weakest) vol=0.00045 wt=0.34 notional_x=7.4x,round_1,2026-05-31 22:00:00,LONG,7.44,0.6345,4.702,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-6295.8060064901265,USDCHF,6882026.568076185,0.7866550000000001,0.787355,-6123.928021372514,171.87798511761235,96,eod,,pre_ret=+0.311% rank=6/6 (strongest) vol=0.00048 wt=0.31 notional_x=6.9x,round_2,2026-06-01 22:00:00,SHORT,6.88,-0.089,-0.6296,1440,Held to round-end (EOD)
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-5674.613562079344,EURUSD,9654492.900220925,1.1633850000000001,1.162725,-5477.090829043262,197.5227330360818,96,eod,,pre_ret=-0.122% rank=2/6 (weakest) vol=0.00034 wt=0.44 notional_x=9.7x,round_2,2026-06-01 22:00:00,LONG,9.65,-0.0567,-0.5675,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,12481.684090857605,AUDUSD,5463480.531702891,0.716175,0.71783,12625.489970982382,143.80588012477736,96,eod,,pre_ret=-0.180% rank=1/6 (weakest) vol=0.00060 wt=0.25 notional_x=5.5x,round_2,2026-06-01 22:00:00,LONG,5.46,0.2311,1.2482,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,20695.924385719904,USDCHF,6085160.519252232,0.79217,0.7894450000000001,20932.45441630244,236.5300305825377,96,finals_bank,,pre_ret=+0.346% rank=6/6 (strongest) vol=0.00041 wt=0.28 notional_x=6.1x,finals,2026-06-03 22:00:00,SHORT,6.09,0.344,2.0696,1440,Banked at Finals +24h profit-take
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,7491.071511179213,GBPUSD,8207280.669620221,1.3413050000000002,1.3425550000000002,7648.596580960218,157.52506978100385,96,finals_bank,,pre_ret=-0.259% rank=2/6 (weakest) vol=0.00030 wt=0.37 notional_x=8.2x,finals,2026-06-03 22:00:00,LONG,8.21,0.0932,0.7491,1440,Banked at Finals +24h profit-take
AUDUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,6824.82906893819,AUDUSD,7707558.811127545,0.7128050000000001,0.7134550000000001,7028.448491848255,203.6194229100645,96,finals_bank,,pre_ret=-0.571% rank=1/6 (weakest) vol=0.00032 wt=0.35 notional_x=7.7x,finals,2026-06-03 22:00:00,LONG,7.71,0.0912,0.6825,1440,Banked at Finals +24h profit-take
USDCHF,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-9599.27524407648,USDCHF,7006568.371069954,0.7968550000000001,0.7979050000000001,-9232.415922122345,366.85932195413443,96,eod,,pre_ret=+1.163% rank=6/6 (strongest) vol=0.00076 wt=0.32 notional_x=7.0x,round_1,2026-06-07 22:00:00,SHORT,7.01,-0.1318,-0.9599,1440,Held to round-end (EOD)
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,7630.089903605788,GBPUSD,9126309.363061922,1.332865,1.334005,7805.736270284234,175.64636667844545,96,eod,,pre_ret=-1.187% rank=2/6 (weakest) vol=0.00058 wt=0.41 notional_x=9.1x,round_1,2026-06-07 22:00:00,LONG,9.13,0.0855,0.763,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,4554.128429055043,AUDUSD,5867122.265868122,0.70376,0.7043250000000001,4710.304763293789,156.1763342387457,96,eod,,pre_ret=-1.578% rank=1/6 (weakest) vol=0.00091 wt=0.27 notional_x=5.9x,round_1,2026-06-07 22:00:00,LONG,5.87,0.0803,0.4554,1440,Held to round-end (EOD)
EURUSD,-1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-4598.837933418792,EURUSD,9580060.288460957,1.1534050000000002,1.1539350000000002,-4402.1241046142495,196.7138288045429,96,eod,,pre_ret=+0.171% rank=6/6 (strongest) vol=0.00029 wt=0.44 notional_x=9.6x,round_2,2026-06-08 22:00:00,SHORT,9.58,-0.046,-0.4599,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,6318.014305852277,USDCHF,6728345.588792261,0.7979050000000001,0.7986850000000001,6577.3614142764,259.34710842412323,96,eod,,pre_ret=-0.003% rank=2/6 (weakest) vol=0.00042 wt=0.31 notional_x=6.7x,round_2,2026-06-08 22:00:00,LONG,6.73,0.0978,0.6318,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-15343.870619392026,AUDUSD,5691594.122746783,0.7043250000000001,0.702445,-15192.129983692832,151.7406356991939,96,eod,,pre_ret=-0.111% rank=1/6 (weakest) vol=0.00050 wt=0.26 notional_x=5.7x,round_2,2026-06-08 22:00:00,LONG,5.69,-0.2669,-1.5344,1440,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,506.9340606760824,USDCHF,6851789.741030461,0.800085,0.799995,770.7444542677572,263.81039359167477,7,eod,,pre_ret=+0.125% rank=6/6 (strongest) vol=0.00048 wt=0.31 notional_x=6.9x,finals,2026-06-10 22:00:00,SHORT,6.85,0.0112,0.0507,105,Held to round-end (EOD)
EURUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,3204.5108863383957,EURUSD,7923605.944739084,1.153045,1.1535350000000002,3367.2293040794057,162.71841774101017,7,eod,,pre_ret=-0.174% rank=2/6 (weakest) vol=0.00041 wt=0.36 notional_x=7.9x,finals,2026-06-10 22:00:00,LONG,7.92,0.0425,0.3205,105,Held to round-end (EOD)
GBPUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2078.593574020673,GBPUSD,7224604.314230456,1.3357550000000002,1.336165,2217.538222828246,138.94464880757323,7,eod,,pre_ret=-0.211% rank=1/6 (weakest) vol=0.00045 wt=0.33 notional_x=7.2x,finals,2026-06-10 22:00:00,LONG,7.22,0.0307,0.2079,105,Held to round-end (EOD)
