symbol,side,sleeve,open_ts,close_ts,pnl,pair,round_kind,round_start
USDJPY,-1,coc,2026-05-26 22:00:00,2026-05-27 22:00:00,-3086.4481937140163,USDJPY,round_3,2026-05-26 22:00:00
GBPUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,6720.32597056477,GBPUSD,finals,2026-05-27 22:00:00
EURUSD,1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,11123.984242385282,EURUSD,finals,2026-05-27 22:00:00
USDCAD,-1,coc,2026-05-27 22:00:00,2026-05-28 22:00:00,22911.2572533684,USDCAD,finals,2026-05-27 22:00:00
EURUSD,1,css,2026-05-31 23:45:00,2026-06-01 03:45:00,-4146.427833001734,EURUSD/USDCHF,round_1,2026-05-31 22:00:00
USDCAD,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,18278.618307860765,USDCAD,round_1,2026-05-31 22:00:00
USDJPY,1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,9718.14028889622,USDJPY,round_1,2026-05-31 22:00:00
GBPUSD,-1,coc,2026-05-31 22:00:00,2026-06-01 22:00:00,-3866.885801344656,GBPUSD,round_1,2026-05-31 22:00:00
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-3526.6151960914426,EURUSD,round_2,2026-06-01 22:00:00
EURJPY,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,7383.896987485225,EURJPY,round_2,2026-06-01 22:00:00
USDCAD,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-399.77454743957463,USDCAD,round_2,2026-06-01 22:00:00
EURGBP,1,css,2026-06-02 23:45:00,2026-06-03 03:45:00,-1554.1252739051988,EURGBP/EURCHF,round_3,2026-06-02 22:00:00
EURUSD,1,coc,2026-06-02 22:00:00,2026-06-03 22:00:00,-6530.491782674634,EURUSD,round_3,2026-06-02 22:00:00
GBPUSD,1,coc,2026-06-02 22:00:00,2026-06-03 22:00:00,-9065.925227443862,GBPUSD,round_3,2026-06-02 22:00:00
USDJPY,-1,coc,2026-06-02 22:00:00,2026-06-03 22:00:00,-1783.6071919357241,USDJPY,round_3,2026-06-02 22:00:00
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,5476.409407253172,GBPUSD,finals,2026-06-03 22:00:00
EURUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,8621.673160728667,EURUSD,finals,2026-06-03 22:00:00
USDCAD,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,-3178.4268849114937,USDCAD,finals,2026-06-03 22:00:00
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,5016.325614265079,GBPUSD,round_1,2026-06-07 22:00:00
EURUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,8707.124551237835,EURUSD,round_1,2026-06-07 22:00:00
USDCAD,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-3688.9547273701596,USDCAD,round_1,2026-06-07 22:00:00
USDCAD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-1579.7343465480433,USDCAD,round_2,2026-06-08 22:00:00
GBPUSD,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,15896.57841499909,GBPUSD,round_2,2026-06-08 22:00:00
EURJPY,-1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-10985.153990201003,EURJPY,round_2,2026-06-08 22:00:00
EURGBP,1,css,2026-06-09 23:45:00,2026-06-10 03:45:00,-2169.320764494258,EURGBP/EURCHF,round_3,2026-06-09 22:00:00
EURUSD,1,coc,2026-06-09 22:00:00,2026-06-10 22:00:00,-1900.3537631042168,EURUSD,round_3,2026-06-09 22:00:00
GBPUSD,1,coc,2026-06-09 22:00:00,2026-06-10 22:00:00,-3293.8582186762656,GBPUSD,round_3,2026-06-09 22:00:00
USDJPY,-1,coc,2026-06-09 22:00:00,2026-06-10 22:00:00,-2107.9096032985653,USDJPY,round_3,2026-06-09 22:00:00
GBPUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,1726.2622147428249,GBPUSD,finals,2026-06-10 22:00:00
EURUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2426.554961481429,EURUSD,finals,2026-06-10 22:00:00
USDCAD,-1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,-414.4703787255658,USDCAD,finals,2026-06-10 22:00:00
