symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
USDJPY,1,coc,2026-05-18 22:00:00,2026-05-19 07:00:00,10769.157147261496,USDJPY,5275838.506868067,158.80450000000002,159.13150000000002,10863.66690960193,94.50976234043372,36,coc_tp,,159.12210900000002,pre_ret=-0.088% rank=2/6 (weakest) vol=0.00038 wt=0.24 notional_x=5.3x,round_2,2026-05-18 22:00:00,LONG,5.28,0.2059,1.0769,540,"COC take-profit hit (+0.30% price move) — banked, re-entering"
EURUSD,1,css,2026-05-19 03:45:00,2026-05-19 07:45:00,23.146207779476832,EURUSD/USDCHF,524999.9999999999,1.16412,1.163485,54.36694451985687,31.22073674038004,16,max_hold,,0.0,CSS z=-1.67 on EURUSD/USDCHF,round_2,2026-05-18 22:00:00,LONG,0.52,-0.0545,0.0023,240,Max hold reached — time stop triggered
USDCHF,1,coc,2026-05-19 07:45:00,2026-05-19 08:45:00,7501.1901846190785,USDCHF,3739096.3364078295,0.7852750000000001,0.7868700000000001,7594.611641234337,93.42145661525869,4,coc_tp,,0.78684555,pre_ret=-0.147% rank=1/6 (weakest) vol=0.00053 wt=0.17 notional_x=3.7x [re-entry after TP],round_2,2026-05-18 22:00:00,LONG,3.74,0.2031,0.7501,60,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCAD,1,coc,2026-05-18 22:00:00,2026-05-19 10:15:00,13802.629565243977,USDCAD,6938125.511425187,1.373755,1.376525,13989.836373041551,187.2068077975739,49,coc_tp,,1.3765025100000001,pre_ret=-0.016% rank=3/6 (weakest) vol=0.00029 wt=0.32 notional_x=6.9x,round_2,2026-05-18 22:00:00,LONG,6.94,0.2016,1.3803,735,"COC take-profit hit (+0.30% price move) — banked, re-entering"
AUDUSD,1,css,2026-05-19 10:15:00,2026-05-19 11:30:00,876.2458103972824,AUDUSD/USDCAD,524999.9999999999,0.7118950000000001,0.712045,900.1082683383452,23.86245794106271,5,z_reversion,,0.0,CSS z=-1.32 on AUDUSD/USDCAD,round_2,2026-05-18 22:00:00,LONG,0.52,0.0211,0.0876,75,CSS z-score reverted (|z| <= 0.10) — mean-reversion complete
EURUSD,1,css,2026-05-19 08:45:00,2026-05-19 12:45:00,-999.8262568975039,EURUSD/USDCHF,524999.9999999999,1.1623350000000001,1.1616750000000002,-968.6432572091451,31.18299968835882,16,max_hold,,0.0,CSS z=-2.91 on EURUSD/USDCHF,round_2,2026-05-18 22:00:00,LONG,0.52,-0.0568,-0.1,240,Max hold reached — time stop triggered
EURUSD,1,css,2026-05-19 12:45:00,2026-05-19 16:45:00,-1188.5422042159744,EURUSD/USDCHF,524999.9999999999,1.1616750000000002,1.160705,-1164.696421027994,23.845783187980537,16,max_hold,,0.0,CSS z=-1.40 on EURUSD/USDCHF,round_2,2026-05-18 22:00:00,LONG,0.52,-0.0835,-0.1189,240,Max hold reached — time stop triggered
GBPUSD,-1,coc,2026-05-19 05:00:00,2026-05-19 22:00:00,1707.2225133156278,GBPUSD,3170544.4408590095,1.3408350000000002,1.3397350000000001,2601.064922190539,893.8424088749114,68,eod,,1.3381533300000001,pre_ret=+0.526% rank=6/6 (strongest) vol=0.00063 wt=0.14 notional_x=3.2x [re-entry after TP],round_2,2026-05-18 22:00:00,SHORT,3.17,0.082,0.1707,1020,Held to round-end (EOD)
USDJPY,1,coc,2026-05-19 07:15:00,2026-05-19 22:00:00,-1497.176202801802,USDJPY,5275838.506868067,159.1055,159.06650000000002,-1293.2155190599804,203.96068374182153,59,eod,,159.423711,pre_ret=-0.088% rank=2/6 (weakest) vol=0.00038 wt=0.24 notional_x=5.3x [re-entry after TP],round_2,2026-05-18 22:00:00,LONG,5.28,-0.0245,-0.1497,885,Held to round-end (EOD)
USDCAD,1,coc,2026-05-19 11:30:00,2026-05-19 22:00:00,65.0289744146688,USDCAD,6938125.511425187,1.3744550000000002,1.374505,252.3955135459944,187.3665391313256,42,eod,,1.3772039100000002,pre_ret=-0.016% rank=3/6 (weakest) vol=0.00029 wt=0.32 notional_x=6.9x [re-entry after TP],round_2,2026-05-18 22:00:00,LONG,6.94,0.0036,0.0065,630,Held to round-end (EOD)
