open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-24 03:53:49.852000+00:00,2026-06-24 03:53:53.853000+00:00,4.001,62700.315,62706.507,1.0,long,6.19,6.19199999999546
2026-06-24 03:54:02.225000+00:00,2026-06-24 03:54:15.296000+00:00,13.071,62723.383,62700.369,1.0,short,3.95,23.014000000002852
2026-06-24 03:54:21.604000+00:00,2026-06-24 03:54:56.005000+00:00,34.401,62703.705,62703.869,1.0,short,10.81,-0.1639999999970314
2026-06-24 03:55:04.660000+00:00,2026-06-24 03:55:25.625000+00:00,20.965,62703.003,62696.635,1.0,long,0.37,-6.367999999994936
2026-06-24 03:55:48.695000+00:00,2026-06-24 03:56:05.065000+00:00,16.37,62695.846,62695.004,1.0,long,0.09,-0.841999999996915
2026-06-24 03:56:11.525000+00:00,2026-06-24 03:56:15.564000+00:00,4.039,62699.745,62698.337,1.0,short,1.41,1.408000000003085
2026-06-24 03:56:31.935000+00:00,2026-06-24 03:56:32.485000+00:00,0.55,62699.496,62699.423,1.0,short,0.07,0.07299999999668216
2026-06-24 03:56:34.535000+00:00,2026-06-24 03:56:38.574000+00:00,4.039,62700.921,62700.678,1.0,short,0.24,0.2430000000022119
2026-06-24 03:56:44.436000+00:00,2026-06-24 03:56:46.904000+00:00,2.468,62720.592,62701.013,1.0,short,0.0,19.578999999997905
2026-06-24 03:56:50.944000+00:00,2026-06-24 03:57:04.104000+00:00,13.16,62700.834,62704.261,1.0,short,0.0,-3.426999999996042
2026-06-24 03:57:08.151000+00:00,2026-06-24 03:57:20.632000+00:00,12.481,62721.221,62699.405,1.0,short,2.3,21.815999999998894
2026-06-24 03:57:30.935000+00:00,2026-06-24 03:57:33.175000+00:00,2.24,62699.465,62701.261,1.0,long,1.8,1.7960000000020955
2026-06-24 03:57:37.255000+00:00,2026-06-24 03:57:38.455000+00:00,1.2,62726.409,62701.117,1.0,long,-0.06,-25.29200000000128
2026-06-24 03:57:41.905000+00:00,2026-06-24 03:57:43.905000+00:00,2.0,62701.699,62703.938,1.0,long,-0.09,2.239000000001397
2026-06-24 03:57:45.185000+00:00,2026-06-24 03:57:49.235000+00:00,4.05,62705.917,62705.66,1.0,long,-5.45,-0.2569999999977881
2026-06-24 03:57:52.678000+00:00,2026-06-24 03:57:53.914000+00:00,1.236,62707.391,62709.634,1.0,short,-2.24,-2.242999999994936
2026-06-24 03:57:54.955000+00:00,2026-06-24 03:57:58.992000+00:00,4.037,62709.415,62701.508,1.0,short,7.9,7.906999999999243
2026-06-24 03:58:11.882000+00:00,2026-06-24 03:58:37.343000+00:00,25.461,62698.724,62689.54,1.0,long,-3.81,-9.184000000001106
2026-06-24 03:58:40.582000+00:00,2026-06-24 03:58:44.623000+00:00,4.041,62691.165,62696.338,1.0,long,5.17,5.173000000002503
2026-06-24 03:58:48.457000+00:00,2026-06-24 03:58:48.693000+00:00,0.236,62701.944,62699.922,1.0,short,2.02,2.022000000004482
2026-06-24 03:58:51.343000+00:00,2026-06-24 03:58:55.393000+00:00,4.05,62720.178,62728.566,1.0,short,-12.17,-8.38799999999901
2026-06-24 03:58:59.433000+00:00,2026-06-24 03:59:00.733000+00:00,1.3,62701.458,62701.785,1.0,long,0.33,0.32700000000477303
2026-06-24 03:59:04.962000+00:00,2026-06-24 03:59:20.935000+00:00,15.973,62697.222,62698.582,1.0,long,0.54,1.360000000000582
2026-06-24 03:59:27.145000+00:00,2026-06-24 03:59:28.394000+00:00,1.249,62696.83,62696.173,1.0,long,-0.66,-0.6569999999992433
2026-06-24 03:59:32.444000+00:00,2026-06-24 03:59:47.985000+00:00,15.541,62694.491,62690.926,1.0,long,0.74,-3.5650000000023283
2026-06-24 03:59:52.045000+00:00,2026-06-24 03:59:55.685000+00:00,3.64,62677.04,62681.801,1.0,long,0.79,4.760999999998603
2026-06-24 03:59:59.127000+00:00,2026-06-24 04:00:02.984000+00:00,3.857,62682.538,62692.005,1.0,long,9.47,9.466999999996915
2026-06-24 04:00:03.285000+00:00,2026-06-24 04:00:04.345000+00:00,1.06,62694.559,62698.469,1.0,long,0.14,3.9099999999962165
