,equity
2026-06-24 05:23:24+00:00,1004730.6600000735
2026-06-24 05:23:29+00:00,1004730.6700000735
2026-06-24 05:23:34+00:00,1004730.6700000735
2026-06-24 05:23:39+00:00,1004730.6700000735
2026-06-24 05:23:44+00:00,1004729.4700000735
2026-06-24 05:23:49+00:00,1004734.9700000735
2026-06-24 05:23:54+00:00,1004733.7700000736
2026-06-24 05:23:59+00:00,1004733.7700000736
2026-06-24 05:24:04+00:00,1004733.7700000736
2026-06-24 05:24:09+00:00,1004737.7700000736
2026-06-24 05:24:14+00:00,1004737.7700000736
2026-06-24 05:24:19+00:00,1004737.7600000736
2026-06-24 05:24:24+00:00,1004737.7700000736
2026-06-24 05:24:29+00:00,1004737.7800000736
2026-06-24 05:24:34+00:00,1004737.7700000736
2026-06-24 05:24:38+00:00,1004743.2700000736
2026-06-24 05:24:43+00:00,1004743.2700000736
2026-06-24 05:24:48+00:00,1004743.2800000736
2026-06-24 05:24:53+00:00,1004743.2800000736
2026-06-24 05:24:58+00:00,1004743.8400000737
2026-06-24 05:25:03+00:00,1004742.6400000737
2026-06-24 05:25:08+00:00,1004748.1400000737
2026-06-24 05:25:13+00:00,1004746.9400000738
2026-06-24 05:25:18+00:00,1004746.9500000738
2026-06-24 05:25:23+00:00,1004748.8300000738
2026-06-24 05:25:28+00:00,1004748.8400000738
2026-06-24 05:25:33+00:00,1004748.8500000738
2026-06-24 05:25:35+00:00,1004747.6500000738
2026-06-24 05:25:40+00:00,1004747.6500000738
2026-06-24 05:25:45+00:00,1004747.6500000738
2026-06-24 05:25:50+00:00,1004750.6600000738
2026-06-24 05:25:53+00:00,1004749.4600000739
2026-06-24 05:25:57+00:00,1004748.2600000739
2026-06-24 05:26:02+00:00,1004752.030000074
2026-06-24 05:26:07+00:00,1004752.030000074
2026-06-24 05:26:12+00:00,1004752.030000074
2026-06-24 05:26:16+00:00,1004750.830000074
2026-06-24 05:26:21+00:00,1004752.830000074
2026-06-24 05:26:23+00:00,1004751.630000074
2026-06-24 05:26:26+00:00,1004750.4300000741
2026-06-24 05:26:30+00:00,1004755.9300000741
2026-06-24 05:26:32+00:00,1004754.7300000741
2026-06-24 05:26:37+00:00,1004753.5300000742
2026-06-24 05:26:42+00:00,1004754.4200000742
2026-06-24 05:26:47+00:00,1004754.4100000742
2026-06-24 05:26:52+00:00,1004753.2100000742
2026-06-24 05:26:57+00:00,1004753.2200000742
2026-06-24 05:27:02+00:00,1004753.2200000742
2026-06-24 05:27:07+00:00,1004753.2300000743
2026-06-24 05:27:12+00:00,1004753.2300000743
2026-06-24 05:27:17+00:00,1004753.2200000742
2026-06-24 05:27:22+00:00,1004753.2200000742
2026-06-24 05:27:27+00:00,1004753.2200000742
2026-06-24 05:27:32+00:00,1004753.2200000742
2026-06-24 05:27:35+00:00,1004752.0200000743
2026-06-24 05:27:40+00:00,1004752.0200000743
2026-06-24 05:27:45+00:00,1004752.0100000743
2026-06-24 05:27:50+00:00,1004752.0000000743
2026-06-24 05:27:55+00:00,1004752.0000000743
2026-06-24 05:28:00+00:00,1004751.9900000743
2026-06-24 05:28:05+00:00,1004751.9900000743
2026-06-24 05:28:10+00:00,1004751.9900000743
2026-06-24 05:28:15+00:00,1004750.9200000743
2026-06-24 05:28:20+00:00,1004754.9200000743
2026-06-24 05:28:25+00:00,1004754.9200000743
2026-06-24 05:28:30+00:00,1004754.9300000743
2026-06-24 05:28:32+00:00,1004753.7300000744
2026-06-24 05:28:37+00:00,1004753.7300000744
2026-06-24 05:28:42+00:00,1004753.7300000744
2026-06-24 05:28:47+00:00,1004753.7400000744
2026-06-24 05:28:52+00:00,1004753.7500000744
2026-06-24 05:28:57+00:00,1004753.7500000744
2026-06-24 05:29:00+00:00,1004752.5500000744
2026-06-24 05:29:05+00:00,1004752.5600000744
2026-06-24 05:29:10+00:00,1004752.5600000744
2026-06-24 05:29:15+00:00,1004752.5600000744
2026-06-24 05:29:20+00:00,1004752.5500000744
2026-06-24 05:29:25+00:00,1004752.8900000744
2026-06-24 05:29:30+00:00,1004752.9000000744
2026-06-24 05:29:35+00:00,1004754.8900000744
2026-06-24 05:29:40+00:00,1004754.8900000744
2026-06-24 05:29:45+00:00,1004754.9000000744
2026-06-24 05:29:50+00:00,1004754.9000000744
2026-06-24 05:29:55+00:00,1004754.9000000744
2026-06-24 05:30:00+00:00,1004756.3100000744
2026-06-24 05:30:05+00:00,1004756.3200000745
2026-06-24 05:30:08+00:00,1004755.1200000745
2026-06-24 05:30:10+00:00,1004753.9200000745
2026-06-24 05:30:15+00:00,1004753.9100000745
2026-06-24 05:30:17+00:00,1004752.7100000746
2026-06-24 05:30:22+00:00,1004754.6900000746
2026-06-24 05:30:27+00:00,1004754.6900000746
2026-06-24 05:30:32+00:00,1004758.6800000746
2026-06-24 05:30:37+00:00,1004758.6700000745
2026-06-24 05:30:42+00:00,1004762.3500000746
2026-06-24 05:30:47+00:00,1004762.0600000746
2026-06-24 05:30:52+00:00,1004762.0700000746
2026-06-24 05:30:57+00:00,1004762.0700000746
2026-06-24 05:31:02+00:00,1004762.0700000746
2026-06-24 05:31:07+00:00,1004762.0700000746
2026-06-24 05:31:11+00:00,1004760.8700000746
2026-06-24 05:31:16+00:00,1004760.8700000746
2026-06-24 05:31:21+00:00,1004760.8700000746
2026-06-24 05:31:26+00:00,1004760.8800000746
2026-06-24 05:31:30+00:00,1004759.6800000747
2026-06-24 05:31:35+00:00,1004764.8600000747
2026-06-24 05:31:40+00:00,1004764.8500000747
2026-06-24 05:31:45+00:00,1004764.8500000747
2026-06-24 05:31:50+00:00,1004764.8500000747
